issuer_slug,current_municipality_ehak,mapping_source,mapping_evidence
vaivara_vallavolikogu,0514,haldusreform-2017,Wikidata: Vaivara vald (EHAK 0851) -> Narva-Jõesuu linn (EHAK 0514); per RT I 21.06.2017 1
valga_linnavalitsus,0855,haldusreform-2017,Wikidata: Valga linn (EHAK 0854) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
valga_linnavolikogu,0855,haldusreform-2017,Wikidata: Valga linn (EHAK 0854) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
valgjarve_vallavolikogu,0284,haldusreform-2017,Wikidata: Valgjärve vald (EHAK 0856) -> Kanepi vald (EHAK 0284); per RT I 21.06.2017 1
valjala_vallavalitsus,0714,haldusreform-2017,Wikidata: Valjala vald (EHAK 0858) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
valjala_vallavolikogu,0714,haldusreform-2017,Wikidata: Valjala vald (EHAK 0858) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
vandra_alevivolikogu,0638,haldusreform-2017,Wikidata: Vändra vald (EHAK 0929) -> Põhja-Pärnumaa vald (EHAK 0638); per RT I 21.06.2017 1
vandra_vallavolikogu,0638,haldusreform-2017,Wikidata: Vändra vald (EHAK 0929) -> Põhja-Pärnumaa vald (EHAK 0638); per RT I 21.06.2017 1
vara_vallavalitsus,0586,haldusreform-2017,Wikidata: Vara vald (EHAK 0861) -> Peipsiääre vald (EHAK 0586); per RT I 21.06.2017 1
vara_vallavolikogu,0586,haldusreform-2017,Wikidata: Vara vald (EHAK 0861) -> Peipsiääre vald (EHAK 0586); per RT I 21.06.2017 1
varbla_vallavalitsus,0430,haldusreform-2017,Wikidata: Varbla vald (EHAK 0863) -> Lääneranna vald (EHAK 0430); per RT I 21.06.2017 1
varska_vallavalitsus,0732,haldusreform-2017,Wikidata: Värska vald (EHAK 0934) -> Setomaa vald (EHAK 0732); per RT I 21.06.2017 1
varska_vallavolikogu,0732,haldusreform-2017,Wikidata: Värska vald (EHAK 0934) -> Setomaa vald (EHAK 0732); per RT I 21.06.2017 1
varstu_vallavolikogu,0698,haldusreform-2017,Wikidata: Varstu vald (EHAK 0865) -> Rõuge vald (EHAK 0698); per RT I 21.06.2017 1
vasalemma_vallavolikogu,0431,haldusreform-2017,Wikidata: Vasalemma vald (EHAK 0868) -> Lääne-Harju vald (EHAK 0431); per RT I 21.06.2017 1
vastse_kuuste_vallavalitsus,0622,haldusreform-2017,Wikidata: Vastse-Kuuste vald (EHAK 0872) -> Põlva vald (EHAK 0622); per RT I 21.06.2017 1
vastse_kuuste_vallavolikogu,0622,haldusreform-2017,Wikidata: Vastse-Kuuste vald (EHAK 0872) -> Põlva vald (EHAK 0622); per RT I 21.06.2017 1
vastseliina_vallavalitsus,0917,haldusreform-2017,Wikidata: Vastseliina vald (EHAK 0874) -> Võru vald (EHAK 0917); per RT I 21.06.2017 1
vastseliina_vallavolikogu,0917,haldusreform-2017,Wikidata: Vastseliina vald (EHAK 0874) -> Võru vald (EHAK 0917); per RT I 21.06.2017 1
vigala_vallavolikogu,0503,haldusreform-2017,Wikidata: Vigala vald (EHAK 0884) -> Märjamaa vald (EHAK 0503); per RT I 21.06.2017 1
vihula_vallavolikogu,0191,haldusreform-2017,Wikidata: Vihula vald (EHAK 0887) -> Haljala vald (EHAK 0191); per RT I 21.06.2017 1
viiratsi_vallavolikogu,0899,haldusreform-2017,Wikidata: Viiratsi vald (EHAK 0892) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
vohma_linnavalitsus,0615,haldusreform-2017,Wikidata: Võhma linn (EHAK 0912) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
vohma_linnavolikogu,0615,haldusreform-2017,Wikidata: Võhma linn (EHAK 0912) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
vonnu_vallavalitsus,0291,haldusreform-2017,Wikidata: Võnnu vald (EHAK 0915) -> Kastre vald (EHAK 0291); per RT I 21.06.2017 1
vonnu_vallavolikogu,0291,haldusreform-2017,Wikidata: Võnnu vald (EHAK 0915) -> Kastre vald (EHAK 0291); per RT I 21.06.2017 1
